Date,Equal Weight (1/N),Buy-and-Hold SPY,Vanilla PPO,PPO + DeepAR + TPG,MacroHRL (Ours)
2024-03-06,120754.52892275473,135890.2788529628,117377.7762759984,114980.30759551251,122304.06258460059
2024-03-07,121490.7721713726,137239.184437575,118066.71696688196,115744.73922720691,123285.5394058446
2024-03-08,121396.35288417156,136415.45718450684,117918.27791844941,115764.13837151267,122869.86085707141
2024-03-11,121219.56544078408,136298.16177163282,117744.89428036209,115609.01933795934,122645.75144473443
2024-03-12,121575.85704628887,137764.37110567998,118017.62098708887,115634.87838599952,123263.12519879673
2024-03-13,121351.31971280076,137548.420830265,117777.30205360144,115556.99980095628,122986.62914313874
2024-03-14,120498.86076590102,137276.51555760694,116914.90140176761,114798.19444081222,122306.22536994758
2024-03-15,120034.0707818124,136333.9172816411,116428.37385189308,114370.5134566368,121686.83468291782
2024-03-18,120309.22989977419,137144.13930593483,116677.70233643825,114597.09563282803,122133.74243541108
2024-03-19,120463.2774482487,137906.2843831039,116826.08030407401,114698.10361732764,122383.40745376328
2024-03-20,121435.57428046127,139181.81989460276,117758.7630118028,115675.70535293073,123459.38345025724
2024-03-21,121687.29070095487,139641.78130966396,117976.34071690726,115829.05894371352,123741.98678318285
2024-03-22,121352.5717475262,139377.02046975878,117638.73724183586,115378.51826107013,123465.1729057468
2024-03-25,121090.2686567657,138991.96305502972,117358.46663786321,115195.08324015465,123175.99261232774
2024-03-26,121031.58393227778,138735.23032334045,117278.57443633986,115168.67776912585,123056.2444036246
2024-03-27,122057.4703611566,139901.13172149842,118242.0028375157,116098.82021384043,123982.2217719235
2024-03-28,122307.05336535681,139874.40470702265,118451.95615974179,116448.15147070528,124118.25816469178
2024-04-01,121826.24536592525,139631.0521556932,117955.86936427487,116296.20245507789,123854.0730275138
2024-04-02,121462.5753132803,138743.28344123927,117553.5898474846,116420.96163054653,123415.32169814302
2024-04-03,121766.97897901801,138895.6757758048,117822.32324487144,116886.55184107398,123736.15993035323
2024-04-04,121075.05928937774,137200.31105376323,117190.41930019156,116124.0982351332,122733.85834691378
2024-04-05,121605.1684750782,138633.6076450935,117722.91019249559,116994.06239363304,123571.70604040139
2024-04-08,122084.32785589709,138711.1543352537,118163.31684323163,117509.63470488641,123953.8166315219
2024-04-09,122720.23540755118,138871.61646083998,118778.33349773538,118063.17130073444,124453.9092648753
2024-04-10,120770.67739129219,137481.06975417337,116995.89512215309,116438.04783280686,122792.22268522
